Продукт	Белки	Жиры	Углеводы	ккал
Йогурт 1.5%	4,3	1,5	8,4	65
Йогурт 3.2%	5	3,2	8,9	87
Кефир 0%	2,8	0	3,8	29
Кефир 1%	2,8	1	4,0	37
Кефир 2,5%	3	2,5	4,0	51
Кефир 3,2%	3,2	3,2	4,1	57
Молоко 0%	2,8	0	4,6	34
Молоко 1%	2,8	1	4,6	43
Молоко 2,5%	2,8	2,5	4,6	53
Молоко 3,2%	2,8	3,2	4,6	58
Молоко козье сырое	3,1	4,2	4,7	71
Молоко коровье сырое	3,2	3,6	4,7	63
Молоко обезжиренное	2,1	0,1	4,5	30
Молоко сухое цельное	25,2	25	39,6	477
Молоко сгущенное	7,3	7,7	9,7	139
Простокваша 3,2%	2,9	3,2	4,0	57
Ряженка 2,5%	2,9	2,5	4,1	53
Ряженка 4,0%	2,9	4	4,1	68
Сливки 10%	2,8	10	4,1	121
Сливки 20%	2,8	20	3,9	209
Сметана 10%	3	10	2,9	118
Сметана 15%	3	15	2,9	163
Сметана 20%	3	20	2,9	208
Сырки из творожной массы	7,3	23	27,6	344
Сыр голландский	26,4	26,5	0	352
Сыр пошехонский	26,4	26,3	0	348
Сыр российский	24,1	29,8	0,4	366
Сыр сулугуни	20	24,2	0	293
Творог жирный	14	18	1,9	236
Творог нежирный	18,2	0,6	1,8	89
Творог полужирный	16,5	9	1,9	156
