Продукт	Белки	Жиры	Углеводы	ккал
Баранина	16,2	15,3	0	201
Бараньи Почки	13,4	2,6	0	78
Баранья Печень	18,9	2,8	0	102
Баранье Сердце	13,6	2,7	0	85
Говядина	18,7	12,6	0	191
Говяжьи Мозги	9,3	9,6	0	126
Говяжья Печень	17,6	3,2	0	100
Говяжьи Почки	12,4	1,9	0	67
Говяжье Вымя	12,1	13,8	0	176
Говяжье Сердце	15,2	3,1	0	89
Говяжий Язык	13,4	12,1	0	160
Конина	20,3	7,1	0	149
Кролик	20,6	12,8	0	197
Свинина нежирная	16,3	27,9	0	318
Свинина жирная	11,6	49,1	0	484
Свиные почки	13,2	3,2	0	84
Свиная печень	18,6	3,5	0	105
Свиное сердце	15,2	3,1	0	87
Свиной язык	14,4	16,5	0	203
Телятина	19,9	1,1	0	91
Гусиное мясо	16,4	33,1	0	359
Индейка	21,1	12,3	0,6	192
Куры	20,4	8,6	0,8	161
Цыплята	18,5	7,9	0,5	159
Утки	16,4	61,3	0	348
