Продукт	Белки	Жиры	Углеводы	ккал
Баклажаны	0,6	0,1	7,5	22
Бобы	6,1	0,1	8,1	59
Брюква	1,2	0,1	8,4	38
Горошек зеленый	5,4	0,2	13,6	75
Кабачки	0,8	0,3	5,9	30
Капуста белокочанная	1,9	0	5,7	31
Капуста краснокочанная	1,9	0	6,3	34
Капуста цветная	2,7	0	5,2	30
Картофель вареный	2	0,3	16,5	80
Картофель жареный	2,6	9,7	23,5	198
Картофель молодой	2,2	0,3	12,5	57
Лук зеленый (перо)	1,4	0	4,2	21
Лук порей	3,2	0	7,1	38
Лук репчатый	1,6	0	9,3	41
Морковь	1,3	0,1	6,3	29
Огурцы грунтовые	0,7	0	3,1	15
Огурцы парниковые	0,7	0	1,6	9
Оливки	0,6	10,2	6,7	111
Перец зеленый сладкий	1,2	0	4,8	24
Перец красный сладкий	1,2	0	5,5	26
Петрушка (зелень)	3,8	0	8	45
Петрушка (корень)	1,6	0	11,2	48
Редис	1,5	0	4,2	22
Редька	1,7	0	7,1	33
Репа	1,6	0	5,8	27
Салат	1,6	0	2,1	15
Свекла	1,7	0	10,5	46
Томаты (грунтовые)	0,7	0	4,1	19
Томаты (парниковые)	0,7	0	2,6	12
Фасоль	4,4	0	4,4	36
Хрен	2,6	0	16,1	70
Чеснок	6,6	0	21,1	103
Шпинат	2,5	0	2,6	22
Щавель	1,6	0	5,5	29
