Продукт	Белки	Жиры	Углеводы	ккал
Бычки	12,7	8,2	5,1	147
Горбуша	21,2	7,1	0	151
Кальмар	18,2	0,2	0	77
Камбала	16	2,5	0	86
Карась	17,5	1,6	0	84
Карп	16	3,5	0	95
Кета	22,1	5,8	0	138
Килька	14,3	9,2	0	142
Корюшка	15,3	3,3	0	93
Крабовое мясо	16	0,9	0	67
Крабовые палочки	17,9	2,1	0	73
Красноперка	18,5	3,1	0	106
Креветка	18	0,9	0	85
Ледяная	15,6	1,3	0	76
Лещ	17,2	4,2	0	109
Лосось	19,2	13,8	0	200
Макрель	20,2	3,6	0	111
Мидии отварные	9,7	1,6	0	53
Минтай	15,7	0,6	0	67
Мойва	13,1	11,7	0	159
Навага	16,71	1,3	0	78
Налим	18,6	0,8	0	85
Окунь морской	17,4	5,5	0	123
Окунь речной	18,3	0,7	0	80
Осетр	16,5	10,5	0	161
Осьминог	18,5	0	0	74
Палтус	18,5	3,2	0	106
Плотва	18,5	0,4	0	108
Раки вареные	20,3	1,2	1,1	96
Сазан	18,1	5,2	0	119
Сайра	18,3	20,5	0	257
Салака	17,1	5,8	0	124
Сельдь	17,3	19,9	0	248
Семга	20,9	15,3	0	222
Сиг	19	7,3	0	141
Скумбрия	18	9,5	0	158
Сом	16,7	8,4	0	141
Ставрида	18	5,3	0	119
Стерлядь	17,3	6,3	0	126
Судак	19	0,7	0	81
Треска	17,7	0,5	0	76
Тунец	21,7	1,3	0	95
Угольная рыба	13,3	11,4	0	153
Угорь морской	14,2	30,7	0	331
Устрицы	14,4	0,3	6,2	91
Форель	19,6	2,1	0	99
Хек	16,4	2,3	0	84
Щука	18,2	0,8	0	83
Язык морской	10,3	5,3	0	89
