Продукт	Белки	Жиры	Углеводы	ккал
Абрикосы	0,7	0	10,1	44
Айва	0,6	0	8,7	37
Алыча	0,3	0	7,6	35
Ананас	0,3	0	11,9	49
Апельсин	0,8	0	8,6	38
Бананы	1,7	0	22,1	87
Брусника	0,6	0	8,8	42
Виноград	0,5	0	17,8	73
Вишня	0,9	0	11,1	46
Гранат	0,9	0	11,9	53
Грейпфрут	0,8	0	7,5	37
Груша	0,5	0	10,6	41
Голубика	1,1	0	7,4	35
Дыня	0,8	0,3	7,3	34
Ежевика	1,9	0	5,1	31
Земляника	1,9	0	7,1	40
Инжир	0,9	0	13,7	57
Киви	1	0,7	9,7	46
Кизил	1,1	0	9,4	42
Клубника	0,6	0,4	7	30
Клюква	0,7	0	4,9	27
Крыжовник	0,8	0	9,7	43
Лимон	0,9	0	3,3	30
Малина	0,7	0	9,2	43
Мандарин	0,9	0	8,8	39
Манго	0,6	0,4	11,8	69
Морошка	0,9	0	6,9	33
Облепиха	0,8	0	5,6	31
Персики	0,9	0	10,1	42
Памело	0,6	0,1	6,1	29
Рябина	1,6	0	12,2	57
Слива	0,8	0	9,7	41
Смородина белая	0,4	0	8,5	37
Смородина красная	0,6	0	8,7	39
Смородина черная	1,0	0	8,0	38
Хурма	0,7	0	15,7	61
Черешня	1,3	0	12,5	54
Черника	1,2	0	8,8	41
Шелковица	0,6	0	12,5	50
Шиповник свежий	1,5	0	24,2	106
Шиповник сушеный	4,5	0	60,1	259
Яблоки	0,5	0	11,4	48
